,price
category_Wellness,-0.0024500365454248104
brand_Caudalie,-0.002489299250136806
brand_Edible Beauty,-0.002607247957386811
brand_Bésame Cosmetics,-0.0026820508116953516
brand_TAN-LUXE,-0.0029910538902731968
brand_Biossance,-0.0030637309674236613
brand_Elizabeth and James,-0.0032188217971779666
brand_LXMI,-0.003348943416317822
category_Tinted,-0.003716725283628494
brand_Fresh,-0.0037366632093497718
brand_Lancôme,-0.004020672073659627
category_Powder,-0.004443153769309999
brand_MDSolarSciences,-0.004443153769310005
category_Curls,-0.0044431537693100384
brand_Clarisonic Skincare,-0.004459338960612909
brand_Volition Beauty,-0.004660138494315497
brand_Summer Fridays,-0.0048097005727290865
category_Holistic,-0.004875432224384153
brand_Too Cool For School,-0.004886068707951131
category_Accessories,-0.004886068707951138
brand_Proactiv,-0.004981744478865118
brand_KORA Organics,-0.00540096078780067
brand_Moon Juice,-0.005507847049223717
category_Exfoliators,-0.005620608823760859
brand_The Art of Shaving,-0.005776658804004424
brand_Sephora Favorites,-0.006209472928609979
category_Fragrance,-0.006308614516008006
brand_Youth To The People,-0.006508398931378983
brand_Rossano Ferretti Parma,-0.006551624493591013
category_Lid,-0.0066577284625157565
brand_LAVANILA,-0.006673627883447865
brand_Cellu-cup,-0.006879185931836316
brand_Aquis,-0.00716367080813675
brand_Naturally Serious,-0.007261778639303804
category_After,-0.0073801294172287125
category_Cheek,-0.00740669757303232
brand_Commodity,-0.0075367320374131975
brand_Black Up,-0.008005684257920172
brand_Lab Series For Men,-0.008108466328759587
brand_Four Sigmatic,-0.008163142518150954
brand_Rahua,-0.00816391346496748
brand_Vital Proteins,-0.008263904472790325
category_Sunscreen,-0.008591715076022941
category_Moisturizer,-0.008723420008800394
brand_Drunk Elephant,-0.008745843991629818
brand_REN Clean Skincare,-0.008760431309200564
brand_Christophe Robin,-0.008797987243743612
brand_ROEN BEAUTY,-0.009079954128155958
category_Spa,-0.009093760625042087
brand_Cocofloss,-0.00909376062504209
brand_Blinc,-0.009231077473547917
brand_By Rosie Jane,-0.009256215509717515
brand_Taste Beauty,-0.009315218094362664
brand_NEST New York,-0.00940146088379059
brand_lilah b.,-0.009411593082558668
brand_YUNI,-0.009415963479626475
brand_Makeup Eraser,-0.0094159634796265
category_Aftershave,-0.009484865608055965
brand_dae,-0.009486822432557947
brand_8Greens,-0.009614694912062904
limited_time_offer,-0.009678631151815434
brand_FARSÁLI,-0.009825223514171783
brand_Violet Voss,-0.009863583764387257
brand_DOMINIQUE COSMETICS,-0.009938117533615603
brand_Coal and Canary,-0.009982085910310513
brand_Vitruvi,-0.010007288289161587
brand_Rita Hazan,-0.010036422577986107
brand_Golde,-0.010105977400458906
brand_Winky Lux,-0.010355579200733158
brand_Fable & Mane,-0.010531724607270553
brand_LAWLESS,-0.010694248869658425
brand_Herbivore,-0.010889398611857197
brand_GLAMGLOW,-0.01108679395167132
category_Brush,-0.011106894693637043
brand_Madam C.J. Walker Beauty Culture,-0.011324192835128753
brand_Mount Lai,-0.011402800586035104
brand_Pink Sugar,-0.011656433408220509
brand_KEVYN AUCOIN,-0.011778404841586302
category_Scrub,-0.011820291140511106
brand_Dr Roebuck's,-0.012158942638917921
brand_DevaCurl,-0.012238996825208638
brand_OLEHENRIKSEN,-0.012388716544654411
brand_Bobbi Brown,-0.012398291123645318
brand_Playa,-0.01241528367616411
brand_Evian,-0.012555761940678003
brand_Josie Maran,-0.012608926003403943
brand_Erborian,-0.012608987003301432
category_Self,-0.012842072834359357
brand_DUO,-0.012861221123684268
brand_Olaplex,-0.01293155537422728
brand_Earth’s Nectar,-0.013096142558284958
brand_Kosas,-0.013113727233201042
brand_rms beauty,-0.013172860165116493
brand_invisibobble,-0.013174426364053147
brand_Grande Cosmetics,-0.013203285867690324
brand_Glow Recipe,-0.01327297476685389
category_BB,-0.013345962164346206
brand_Shaveworks,-0.013428383131376684
brand_trèStiQue,-0.0134283831313767
brand_TOCCA,-0.013476908464938797
brand_Farmacy,-0.013601921682103939
brand_Touch In Sol,-0.013649876846771224
brand_Melt Cosmetics,-0.013814575877313981
brand_Skin Laundry,-0.013998838812261074
brand_Better Not Younger,-0.014030483253069694
category_no,-0.014157837023059262
brand_Anthony,-0.014385857315511863
category_Contour,-0.01453174945223906
brand_Skinfix,-0.014577364621303206
brand_Artist Couture,-0.014686765238577237
brand_Capri Blue,-0.014795048796926762
category_Bath,-0.01491357281323513
brand_lululemon selfcare,-0.014941086459134082
brand_stila,-0.015024816921005107
brand_KNC Beauty,-0.015532573427624676
brand_Tower 28 Beauty,-0.01568286571182798
brand_Buxom,-0.01576988108647511
brand_Peace Out,-0.01586212153971633
brand_O&M,-0.01592502000675356
brand_STELLAR,-0.016030514494850278
brand_Saturday Skin,-0.01607694027967546
brand_Sachajuan,-0.0161315307253951
brand_belif,-0.01655015879015904
category_Beauty,-0.016731789297711328
brand_COOLA,-0.016902402737803805
category_Candles,-0.017017265402609717
category_Liquid,-0.017063938096110624
category_Color,-0.017093578758558006
brand_Pretty Vulgar,-0.01740653684626932
brand_Velour Lashes,-0.017416653751966677
brand_Isle of Paradise,-0.01759569113706849
brand_FORM ,-0.01781750408536129
category_Foundation,-0.018014138774251287
brand_Bite Beauty,-0.0181194044115484
brand_L'Occitane,-0.018278466136758438
category_Blemish,-0.018309345087744358
brand_dpHUE,-0.018318329338269986
brand_Marc Jacobs Beauty,-0.01833654904129401
category_Scalp,-0.018516479274130235
brand_Together Beauty,-0.018709234434569132
brand_PATRICK TA,-0.018768804085630673
brand_boscia,-0.01880045452815082
brand_ILIA,-0.018988056009333606
brand_philosophy,-0.01903770389194217
brand_Hourglass,-0.019167881777920073
brand_Good Dye Young,-0.01961264940909662
brand_Primera,-0.01987962687486989
category_Tweezers,-0.020326288525645508
brand_PLAY! by SEPHORA,-0.020382030367481273
brand_NUDESTIX,-0.020687350350828998
